DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1577,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1577,7,1.249,0.669,0.58,2,2,0,51.483,51.483,154.85,64.942,219.792, High,-46,58.29052734,1.21636675,3.592449706,94,-184,99.22485352
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1722,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1577,7,1.249,0.669,0.58,2,2,0,51.483,51.483,154.85,64.942,219.792, High,-46,58.29052734,1.21636675,3.592449706,94,-184,99.22485352
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_165,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1577,7,1.249,0.669,0.58,2,2,0,51.483,51.483,154.85,64.942,219.792, High,-46,58.29052734,1.21636675,3.592449706,94,-184,99.22485352
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1577,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1577,7,1.249,0.669,0.58,2,2,0,51.483,51.483,154.85,64.942,219.792, High,-46,58.29052734,1.21636675,3.592449706,94,-184,99.22485352
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1722,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1722,7,1.199,0.614,0.585,3,2,0,76.986,76.986,198.755,92.442,291.197, High,-47.5,58.22509766,1.241718747,3.543677493,74,-168,97.83935547
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_165,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1722,7,1.199,0.614,0.585,3,2,0,76.986,76.986,198.755,92.442,291.197, High,-47.5,58.22509766,1.241718747,3.543677493,74,-168,97.83935547
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1060,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1722,7,1.199,0.614,0.585,3,2,0,76.986,76.986,198.755,92.442,291.197, High,-47.5,58.22509766,1.241718747,3.543677493,74,-168,97.83935547
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_2094,SIGNED_ADD_7x7_7,OvErr_BASE,v1,1722,7,1.199,0.614,0.585,3,2,0,76.986,76.986,198.755,92.442,291.197, High,-47.5,58.22509766,1.241718747,3.543677493,74,-168,97.83935547
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1990,SIGNED_ADD_7x7_7,OvErr_BASE,v1,165,1.301,1.254,0.663,0.591,5,2,0,114.851,114.851,257.036,132.516,389.552, High,6.5,40.47460938,0.327228939,1.21814268,162,-148,88.42773438
SIGNED_ADD_7x7_7_OvErr_BASE_v1_config_1658,SIGNED_ADD_7x7_7,OvErr_BASE,v1,165,1.301,1.254,0.663,0.591,5,2,0,114.851,114.851,257.036,132.516,389.552, High,6.5,40.47460938,0.327228939,1.21814268,162,-148,88.42773438
