DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_430,SIGNED_ADD_6x6_6,OvErr_BASE,v1,430,7.0,0.877,0.371,0.506,1,1,0.0,39.661,39.661,172.864,55.66,228.524, High,26.0,30.63037109375,1.0033525530943301,3.179766501652445,93,-33,99.462890625
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_41,SIGNED_ADD_6x6_6,OvErr_BASE,v1,41,7.0,0.962,0.466,0.496,2,2,0.0,63.821,63.821,183.988,80.382,264.37, High,-7.0,19.90625,0.5141718873872704,0.9142450128872748,80,-78,95.60546875
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_265,SIGNED_ADD_6x6_6,OvErr_BASE,v1,265,7.0,1.149,0.55,0.599,2,2,0.0,62.864,62.864,176.634,76.925,253.559, High,16.0,24.876953125,1.3697366209634056,1.8101122387427884,75,-35,97.4609375
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_523,SIGNED_ADD_6x6_6,OvErr_BASE,v1,523,7.0,1.199,0.62,0.579,2,2,0.0,53.895,53.895,160.22,66.739,226.959, High,-23.0,29.07958984375,1.2986018484636777,2.9945594515772687,45,-89,96.728515625
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_497,SIGNED_ADD_6x6_6,OvErr_BASE,v1,497,7.0,1.199,0.62,0.579,3,2,0.0,84.756,84.756,186.229,99.437,285.666, High,-18.0,25.859375,1.698320196870866,2.445098259081086,38,-72,96.142578125
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_414,SIGNED_ADD_6x6_6,OvErr_BASE,v1,414,7.0,1.147,0.559,0.588,3,1,0.0,80.169,80.169,207.382,95.147,302.529, High,21.5,27.79296875,1.1202447636612918,2.7235602422418177,84,-40,93.310546875
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_310,SIGNED_ADD_6x6_6,OvErr_BASE,v1,310,7.0,0.876,0.38,0.496,1,2,0.0,38.604,38.604,180.385,54.498,234.883, High,16.0,25.287109375,1.043021327556717,1.8562948850248888,87,-39,98.6328125
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_488,SIGNED_ADD_6x6_6,OvErr_BASE,v1,488,1.221,1.2,0.62,0.58,4,2,0.0,109.484,109.484,220.133,125.592,345.725, High,-16.0,24.46875,2.1335840848417726,2.1335840848417726,34,-64,90.8203125
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_366,SIGNED_ADD_6x6_6,OvErr_BASE,v1,366,7.0,0.954,0.38,0.574,1,1,0.0,29.24,29.24,146.094,43.404,189.498, High,2.5,21.4208984375,0.9919515644389608,1.0866701362217528,66,-60,96.9970703125
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_597,SIGNED_ADD_6x6_6,OvErr_BASE,v1,597,7.0,1.076,0.372,0.704,2,1,0.0,52.726,52.726,174.384,67.064,241.448, High,-29.5,32.8466796875,1.1139444587219474,3.5322104301408315,34,-92,97.0458984375
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_223,SIGNED_ADD_6x6_6,OvErr_BASE,v1,223,1.187,1.108,0.6,0.508,2,2,0.0,53.381,53.381,166.277,67.334,233.611, High,12.0,27.85400390625,0.6197713653352079,2.707377271592579,93,-65,98.974609375
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_516,SIGNED_ADD_6x6_6,OvErr_BASE,v1,516,1.201,1.124,0.551,0.573,3,2,0.0,84.369,84.369,218.335,99.863,318.198, High,-21.5,28.0888671875,1.3737412431357177,2.851416114110594,42,-84,93.8232421875
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_142,SIGNED_ADD_6x6_6,OvErr_BASE,v1,142,1.187,1.108,0.6,0.508,2,2,0.0,53.381,53.381,166.285,67.334,233.619, High,-4.0,23.67236328125,0.6573499690839271,1.8306568468025697,77,-81,98.388671875
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_288,SIGNED_ADD_6x6_6,OvErr_BASE,v1,288,1.406,1.201,0.614,0.587,3,2,0.0,78.467,78.467,190.15,92.747,282.897, High,13.5,24.41796875,1.213047542670905,1.8382990242577746,80,-52,93.408203125
SIGNED_ADD_6x6_6_OvErr_BASE_v1_config_143,SIGNED_ADD_6x6_6,OvErr_BASE,v1,143,1.187,1.108,0.6,0.508,2,2,0.0,53.381,53.381,166.277,67.334,233.611, High,-3.0,23.765625,0.6550013063496323,1.8723075138339291,78,-80,99.1943359375
