DESIGN_NAME,BASE_OPERATOR,DESIGN_TYPE,PRUNING_INIT,Config,Constraint,CPD,Delay_logic,Delay_signal,LUTs,Carries,Signal_power,Logic_power,Total_power,Signal_power_top,Logic_power_top,Total_power_top,Conf,average_error,average_absolute_error,average_relative_error,average_absolute_relative_error,acutal_max_error,actual_min_error,error_prob_approx
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_6247,SIGNED_ADD_8x8_8,OvErr_BASE,v2,6247,7,1.064,0.559,0.505,2,1,0,53.314,53.314,207.588,70.189,277.777, High,-42,91.83850098,1.091727204064836,2.0504407625471255,209,-293,99.25537109
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1267,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1267,7,1.131,0.546,0.585,2,2,0,47.766,47.766,173.541,63.716,237.257, High,-14,92.76303100585938,0.2867232016368267,2.1596538495663156,309,-329,99.77111816
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_2245,SIGNED_ADD_8x8_8,OvErr_BASE,v2,2245,1.2320000000000002,1.111,0.515,0.596,4,2,0,106.682,106.682,263.269,126.068,389.337, High,68,98.21777344,2.417076911253127,2.6577394241620063,267,-131,98.14453125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3250,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3250,7,1.064,0.559,0.505,2,1,0,53.314,53.314,206.532,70.189,276.721, High,6,85.4362793,1.0827238245756976,1.085429052743158,257,-245,98.55957031
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1546,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1546,1.298,1.199,0.599,0.6,4,2,0,95.787,95.787,237.34,113.959,351.299, High,26,84.35546875,-0.621425002,1.910363189,325,-273,98.828125
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3099,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3099,1.2839999999999998,1.179,0.663,0.516,3,2,0,75.352,75.352,226.619,92.033,318.652, High,41.75,91.37158203,1.3897291429255945,2.0133208835259193,280,-198,99.42016602
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3963,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3963,7,1.199,0.614,0.585,2,2,0,50.654,50.654,175.62,65.641,241.261, High,85.75,110.8800048828125,1.0475370922061753,3.5730778333996325,344,-174,99.36676025390625
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5921,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5921,1.298,1.175,0.599,0.576,3,2,0,75.519,75.519,198.436,92.535,290.971, High,-37,90.20898438,1.4549274314443805,2.0276944680518314,198,-272,99.65209961
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_4348,SIGNED_ADD_8x8_8,OvErr_BASE,v2,4348,7,1.109,0.53,0.579,2,1,0,52.989,52.989,201.185,69.613,270.798, High,123.5,135.3331298828125,1.010116187067771,5.055009170269964,377,-129,99.49951172
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_3235,SIGNED_ADD_8x8_8,OvErr_BASE,v2,3235,0.9130000000000004,0.876,0.38,0.496,1,2,0,31.962,31.962,182.913,50.448,233.361, High,24,87.28790283203125,1.020375373472565,1.3592478911416879,283,-227,99.55444336
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1510,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1510,7,1.313,0.546,0.767,3,2,0,64.179,64.179,176.938,79.465,256.403, High,34,90.61462402,-0.092159847,2.413917982,341,-265,99.08447266
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_5357,SIGNED_ADD_8x8_8,OvErr_BASE,v2,5357,7,1.381,0.62,0.761,3,2,0,65.682,65.682,178.679,80.063,258.742, High,-113,127.7324219,1.289697935298046,4.605019365633577,130,-356,98.97460938
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1206,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1206,7,1.241,0.661,0.58,3,2,0,72.054,72.054,212.178,88.344,300.522, High,-34.25,101.4072266,0.4619637819182935,2.640652124677188,284,-352,99.46899414
SIGNED_ADD_8x8_8_OvErr_BASE_v2_config_1264,SIGNED_ADD_8x8_8,OvErr_BASE,v2,1264,7,1.131,0.546,0.585,2,2,0,47.766,47.766,173.541,63.716,237.257, High,-16,92.75592041015625,0.28709834244887417,2.1259357813303787,307,-331,99.7253418
